Name,Location,Type of Bin Placed,Postal Code
Challenger,"302 Tiong Bahru Road, Tiong Bahru Plaza, #03-19","3-in-1 Bin (ICT, Bulb, Battery)",
Challenger,"1 Jurong West Central 2, Jurong Point, #B1-94","3-in-1 Bin (ICT, Bulb, Battery)",
Challenger,"200 Victoria Street, Bugis Junction, #03-10E","3-in-1 Bin (ICT, Bulb, Battery)",
Challenger,"5 Changi Business Park Central 1, Changi City Point, #01-56","3-in-1 Bin (ICT, Bulb, Battery)",
Challenger,"3 Simei Street 6, Eastpoint Mall, #B1-08","3-in-1 Bin (ICT, Bulb, Battery)",
Challenger,"90 Hougang Avenue 10, Hougang Mall, #04-15","3-in-1 Bin (ICT, Bulb, Battery)",
Challenger,"10 Paya Lebar Road, Paya Lebar Quarter (PLQ), #04-01","3-in-1 Bin (ICT, Bulb, Battery)",
Challenger,"10 Tampines Central 1, Tampines 1, #04-25","3-in-1 Bin (ICT, Bulb, Battery)",
Challenger,"68 Orchard Road, Plaza Singapura, #4-12  ","3-in-1 Bin (ICT, Bulb, Battery)",
Challenger,"200 Victoria Street, Bugis Junction, #B1-26 (Flagship)","3-in-1 Bin (ICT, Bulb, Battery)",
Challenger,"30 Sembawang Drive, Sun Plaza, #2-06","3-in-1 Bin (ICT, Bulb, Battery)",
Challenger,"23 Serangoon Central, #04 - 33 / 34, NEX Mall","3-in-1 Bin (ICT, Bulb, Battery)",
Challenger,"50 Jurong Gateway Road, JEM, #04-01","3-in-1 Bin (ICT, Bulb, Battery)",
Challenger,"53 Ang Mo Kio Ave 3, #02-10, AMK Hub","3-in-1 Bin (ICT, Bulb, Battery)",
Challenger,"2 Jurong East Street 21, #02-42 IMM Building","3-in-1 Bin (ICT, Bulb, Battery)",
Challenger,"1 HarbourFront Walk, Vivocity","3-in-1 Bin (ICT, Bulb, Battery)",
City Square Mall,180 Kitchener Road,"3-in-1 Bin (ICT, Bulb, Battery)",
Ci Yuan CC,51 Hougang Avenue 9,"3-in-1 Bin (ICT, Bulb, Battery)",
Clementi CC,220 Clementi Ave 4,"3-in-1 Bin (ICT, Bulb, Battery)",
Cold Storage,"5 Stadium Walk, Kallang Leisure Park, #B1-01",Battery and Bulb Bin,
Cold Storage,"293 Holland Road, Jelita Shopping Centre, #01-01  ",Battery and Bulb Bin,
Cold Storage,"101 Thomson Road, United Square, #B1-29  ",Battery and Bulb Bin,
Cold Storage,"230 Victoria Street, Bugis Junction, #B1-17  ",Battery and Bulb Bin,
Cold Storage,"1 Fifth Avenue, Guthrie House, #01-05  ",Battery and Bulb Bin,
Cold Storage,"1 Stamford Road, Raffles City Shopping Centre, #B1-01  ",Battery and Bulb Bin,
Cold Storage,"501 Bukit Timah Road, Cluny Court, #01-02  ",Battery and Bulb Bin,
Cold Storage,"154 West Coast Road, West Coast Plaza, #B1-19  ",Battery and Bulb Bin,
Cold Storage,"1 Kim Seng Promenade, Great World City, #B1-18  ",Battery and Bulb Bin,
Cold Storage,"1 Vista Exchange Green, The Star Vista, #B1-02  ",Battery and Bulb Bin,
Cold Storage,"4 Hillview Rise, Hillview Market Place, #02-07  ",Battery and Bulb Bin,
Cold Storage,"12 Kallang Ave, Aperia, #01-47  ",Battery and Bulb Bin,
Cold Storage,"1 Sengkang Square, Compass One, #B1-25  ",Battery and Bulb Bin,
Cold Storage,"1 Fusionopolis Way, One North, #B2-03  ",Battery and Bulb Bin,
Cold Storage,"81 Clemenceau Avenue, Ue Square, #02-15  ",Battery and Bulb Bin,
Cold Storage,"238 Thomson Road, Novena Square, #01-28",Battery and Bulb Bin,
Compass One,"1 Sengkang Square, L1","3-in-1 Bin (ICT, Bulb, Battery)",
COURTS,"1 Woodlands Square, Causeway Point, #04-19/20  ","3-in-1 Bin (ICT, Bulb, Battery)",
COURTS,460 Toa Payoh Lorong 6  ,"3-in-1 Bin (ICT, Bulb, Battery)",
COURTS,730 Ang Mo Kio Ave 6,"3-in-1 Bin (ICT, Bulb, Battery)",
COURTS,"23 Serangoon Central, NEX Mall, #02-49/50  ","3-in-1 Bin (ICT, Bulb, Battery)",
COURTS,"50 Tampines North Drive 2, Courts MEGASTORE","3-in-1 Bin (ICT, Bulb, Battery)",
COURTS,"Jurong Point, 1 Jurong West Central 2, JP1, #02-05/10","3-in-1 Bin (ICT, Bulb, Battery)",
COURTS,"50 Jurong Gateway Road, JEM, #04-30","3-in-1 Bin (ICT, Bulb, Battery)",
COURTS,"3 Simei Street 6 #04-04/05/06/07, Eastpoint Mall","3-in-1 Bin (ICT, Bulb, Battery)",
Cross Street Exchange,18 Cross Street,"3-in-1 Bin (ICT, Bulb, Battery)",
Dairy Farm Group,"Cold Storage, 5 Stadium Walk, Kallang Leisure Park, #B1-01 ","3-in-1 Bin (ICT, Bulb, Battery)",
Dairy Farm Group,"Giant Hypermarket, 521 Tampines North Drive 2, #03-01, Singapore 528765","3-in-1 Bin (ICT, Bulb, Battery)",
Environment Building,40 Scotts Road,"3-in-1 Bin (ICT, Bulb, Battery)",
Eunos CC,180 Bedok Reservoir Road,"3-in-1 Bin (ICT, Bulb, Battery)",
Fairprice,"1 Harbourfront Walk, VivoCity, #B2-23","3-in-1 Bin (ICT, Bulb, Battery)",
Fairprice,"63 Jurong West Central 3, Jurong Point, #03-01","3-in-1 Bin (ICT, Bulb, Battery)",
Fairprice,"8 Changi Business Park Ave 1, #01-51 & #02-51","3-in-1 Bin (ICT, Bulb, Battery)",
Fairprice,"1 Hougang St 91, Hougang 1, #2-01","3-in-1 Bin (ICT, Bulb, Battery)",
Fairprice,"23 Serangoon Central, NEX Mall, #03-42","3-in-1 Bin (ICT, Bulb, Battery)",
Fairprice,"1 Stadium Place Level 1, Wave Mall, #01-29","3-in-1 Bin (ICT, Bulb, Battery)",
Fairprice,"80 Marine Parade Rd, Parkway Parade, #3-28","3-in-1 Bin (ICT, Bulb, Battery)",
Fairprice,"53 Ang Mo Kio Ave 3, Ang Mo Kio Hub, #B2-40   ","3-in-1 Bin (ICT, Bulb, Battery)",
Fairprice,"900 South Woodlands Drive, Woodlands Civic Centre, #B1-01  ",Battery and Bulb Bin,
Fairprice,"Blk 888 Woodlands Dr 50, #01-757  ",Battery and Bulb Bin,
Fairprice,"Blk 676 Woodlands Dr 71, Kampung Admiralty, #B1-02  ",Battery and Bulb Bin,
Fairprice,"71 Woodlands Ave 3, Marsling MRT, #01-01  ",Battery and Bulb Bin,
Fairprice,"Blk 712 Ang Mo Kio Ave 6, Blk 712 Ang Mo Kio, #01-4056  ",Battery and Bulb Bin,
Fairprice,"Blk 510 Bishan St 13, #01-520",Battery and Bulb Bin,
Fairprice,"Tanjong Pagar Plaza, #01-01  ",Battery and Bulb Bin,
Fairprice,"166 Bukit Merah Central, #01-3531 & 02-3531  ",Battery and Bulb Bin,
Fairprice,"Blk 57 Dawson Rd, Dawson Place, #01-07  ",Battery and Bulb Bin,
Fairprice,"Blk 50 Havelock Rd, Blk 50 Havelock Rd, #01-755  ",Battery and Bulb Bin,
Fairprice,"460 Alexandra Rd ,460 Alexandra Rd, #01-09 and #01-16  ",Battery and Bulb Bin,
Fairprice,"1 Lower Kent Ridge Rd, NUH Medical Centre, #02-16  ",Battery and Bulb Bin,
Fairprice,"Blk 108 Depot Rd, Depot Heights Shopping Centre, #01-01  ",Battery and Bulb Bin,
Fairprice,"Blk 36 Holland Dr, Blk 36 Holland Dr, #01-03/04/05  ",Battery and Bulb Bin,
Fairprice,"Blk 28 Dover Crescent, Blk 28 Dover Crescent, #01-83  ",Battery and Bulb Bin,
Fairprice,"Blk 451 Clementi Ave 3, Blk 451 Ave 3, #01-307  ",Battery and Bulb Bin,
Fairprice,"Blk 399 Yung Sheng Rd, Taman Jurong Shopping Centre, #01-35  ",Battery and Bulb Bin,
Fairprice,"Blk 63/66 Yung Kuang Rd, Blk 66 Yung Kang Rd, #01-119 & #02-119  ",Battery and Bulb Bin,
Fairprice,"Blk 221 Boon Lay Place, Boon Lay Shopping Centre, #02-200  ",Battery and Bulb Bin,
Fairprice,"No. 1 Jurong West Central 2, Jurong Point 1, #B1-09  ",Battery and Bulb Bin,
Fairprice,"Blk 502 West Coast Dr, Blk 502 West Coast Dr, #01-41  ",Battery and Bulb Bin,
Fairprice,"17 Petir Rd, Hillion Mall, #B2-67  ",Battery and Bulb Bin,
Fairprice,"21 Choa Chu Kang Ave 4, Lot 1 Shoppers' Mall, #B1-03  ",Battery and Bulb Bin,
Fairprice,"21 Choa Chu Kang North 6, Yew Tee Point, #B1-01  ",Battery and Bulb Bin,
Fairprice,"Blk 135 Jurong Gateway Rd, #01-337  ",Battery and Bulb Bin,
Fairprice,"2 Bukit Batok West Ave 7, HomeTeam NS Bukit Batok Clubhouse, #01-10",Battery and Bulb Bin,
Fairprice,"Blk 628 Senja Rd, Senja Grand, #01-01  ",Battery and Bulb Bin,
Fairprice,"Blk 140 Teck Whye Lane, #01-351  ",Battery and Bulb Bin,
Fairprice,"10 Bukit Batok Central, #01-08  ",Battery and Bulb Bin,
Fairprice,"Blk 345 Jurong East St 31, #01-29  ",Battery and Bulb Bin,
Fairprice,"9 Bishan Place, Junction 8 Shopping Centre, #B1-01  ",Battery and Bulb Bin,
Fairprice,"No. 1 Jelebu Rd, Bukit Panjang Plaza, #01-15 & #02-20  ",Battery and Bulb Bin,
Fairprice,"61 Choa Chu Kang Dr, Yew Tee MRT Station, #01-01  ",Battery and Bulb Bin,
Fairprice,"3155 Commonwealth Avenue West, The Clementi Mall, #B1-12  ",Battery and Bulb Bin,
Fairprice,"1 Maju Ave, Serangoon Garden Village, #B1-11  ",Battery and Bulb Bin,
Fairprice,"No. 1 Jln Anak Bukit, Bukit Timah Plaza, #B1-01 & #B2-01  ",Battery and Bulb Bin,
Fairprice,"301 Upper Thomson Rd, Thomson Plaza, #03-37/38",Battery and Bulb Bin,
Fairprice,"50 Jurong Gateway Rd, JEM, #B1-21/22 & #B3-01",Battery and Bulb Bin,
Gain City,"6 Raffles Boulevard, Marina Square, #03 - 223 / 232 ","3-in-1 Bin (ICT, Bulb, Battery)",
Gain City,8 Ang Mo Kio Industrial Park 2 ,"3-in-1 Bin (ICT, Bulb, Battery)",
Gain City,"71 Sungei Kadut Drive, Gain City Megastore @ Sungei Kadut ","3-in-1 Bin (ICT, Bulb, Battery)",
Gain City,"10 Tampines Central 1, Tampines 1, #B1-09","3-in-1 Bin (ICT, Bulb, Battery)",
German Centre,25 International Business Park,"3-in-1 Bin (ICT, Bulb, Battery)",
Giant,"21 Tampines North Drive 2, #03-01","3-in-1 Bin (ICT, Bulb, Battery)",
Harbourfront Centre,1 Maritime Square,"3-in-1 Bin (ICT, Bulb, Battery)",
Harbourfront Tower One,1 HarbourFront Place,"3-in-1 Bin (ICT, Bulb, Battery)",
Harvey Norman,"Bedok Point, 799 New Upper Changi Road, #B1-01/02, #B1-16 to 32, #B1-K1 to K14 ","3-in-1 Bin (ICT, Bulb, Battery)",
Harvey Norman,"Bukit Panjang Plaza, 1 Jelebu Road, #03-06/06A/06B/07A ","3-in-1 Bin (ICT, Bulb, Battery)",
Harvey Norman,"Djitsun Mall, 5 Ang Mo Kio Central 2 #02-01/02","3-in-1 Bin (ICT, Bulb, Battery)",
Harvey Norman,"Millenia Walk Flagship Store, 9 Raffles Boulevard, #01-59 to 63, #02-37 to 41, #03-02","3-in-1 Bin (ICT, Bulb, Battery)",
Harvey Norman,"Parkway Parade Superstore, 80 Marine Parade Road #01- 35/35A/36,#02-34/34A/35/36,","3-in-1 Bin (ICT, Bulb, Battery)",
Harvey Norman,"6 Temasek Boulevard, Suntec City Mall East Atrium, Tower 3/4, #01-634 to 640","3-in-1 Bin (ICT, Bulb, Battery)",
Harvey Norman,"930 Yishun Avenue 2, Northpoint City, Lv 1 Atrium","3-in-1 Bin (ICT, Bulb, Battery)",
Harvey Norman,"90 Hougang Avenue 10 #02-13 to 15, Hougang Mall","3-in-1 Bin (ICT, Bulb, Battery)",
Harvey Norman,"1 Jurong West Central 2, #03-34 to 39 Shopping Centre, Jurong Point","3-in-1 Bin (ICT, Bulb, Battery)",
Harvey Norman,"33 Sengkang West Avenue, #03-25/30, Seletar Mall","3-in-1 Bin (ICT, Bulb, Battery)",
Harvey Norman,"176 Orchard Road #03-06/07/07A/08 & #03-101, Centrepoint","3-in-1 Bin (ICT, Bulb, Battery)",
Harvey Norman,"750B Chai Chee Road #01-01/#02-02, ESR BizPark (Formerly Viva Business Park)","3-in-1 Bin (ICT, Bulb, Battery)",
Harvey Norman,"No 1 Bt. Batok Central Link #03-06 to 09, West Mall","3-in-1 Bin (ICT, Bulb, Battery)",
Harvey Norman,"3 Gateway Drive #B1-38/39, Westgate","3-in-1 Bin (ICT, Bulb, Battery)",
Heartbeat @ Bedok,11 Bedok North Street 1,"3-in-1 Bin (ICT, Bulb, Battery)",
Hewlett-Packard,"1 Depot close, HP Enterprise","3-in-1 Bin (ICT, Bulb, Battery)",
Hougang CC,35 Hougang Ave 3,"3-in-1 Bin (ICT, Bulb, Battery)",
IMM,2 Jurong East Street 21,"3-in-1 Bin (ICT, Bulb, Battery)",
ITE College Central,2 Ang Mo Kio Drive,"3-in-1 Bin (ICT, Bulb, Battery)",
JCube,2 Jurong East Central 1,"3-in-1 Bin (ICT, Bulb, Battery)",
Kebun Baru CC,Ang Mo Kio Avenue 4,"3-in-1 Bin (ICT, Bulb, Battery)",
Lenovo,"107 North Bridge Road, Funan Mall, #03-19/20","3-in-1 Bin (ICT, Bulb, Battery)",
Leng Kee CC,400 Lengkok Bahru,"3-in-1 Bin (ICT, Bulb, Battery)",
Lot One Shoppers' Mall,21 Choa Chu Kang Ave 4,"3-in-1 Bin (ICT, Bulb, Battery)",
Marina Bay Financial Centre Tower 3,12 Marina Blvd,"3-in-1 Bin (ICT, Bulb, Battery)",
Marina Bay Link Mall,8A Marina Boulevard,"3-in-1 Bin (ICT, Bulb, Battery)",
Marymount CC,191 Sin Ming Ave,"3-in-1 Bin (ICT, Bulb, Battery)",
Mega Discount Store,"101 Thomson Road, United Square, #B1-56D/E ","3-in-1 Bin (ICT, Bulb, Battery)",
Mega Discount Store,"5 Stadium Walk, Kallang Leisure Park, #01-46-50","3-in-1 Bin (ICT, Bulb, Battery)",
National University of Singapore (NUS),"27 Science Drive 1, Kent Ridge Campus, Outside LT27 & LT29 student space, Level 1 ","3-in-1 Bin (ICT, Bulb, Battery)",
National University of Singapore (NUS),"12 Kent Ridge Cres, Kent Ridge Campus, Central Library Forum space, Level 1 ","3-in-1 Bin (ICT, Bulb, Battery)",
National University of Singapore (NUS),"2 College Ave West, UTown - Stephen Riady Centre, Level 1 in front of WaaCow Restaurant","3-in-1 Bin (ICT, Bulb, Battery)",
One Raffles Quay,1 Raffles Quay,"3-in-1 Bin (ICT, Bulb, Battery)",
Our Tampines Hub,1 Tampines Walk,"3-in-1 Bin (ICT, Bulb, Battery)",
Pasir Panjang,"3 Harbour Drive, Pasir Panjang Terminal Building 3","3-in-1 Bin (ICT, Bulb, Battery)",
People’s Association,"30 Bukit Batok Street 31, Hong Kah North CC ","3-in-1 Bin (ICT, Bulb, Battery)",
People’s Association,"1 Hillview rise, Hillview CC ","3-in-1 Bin (ICT, Bulb, Battery)",
People’s Association,"2 Choa Chu Kang Loop, Keat Hong CC ","3-in-1 Bin (ICT, Bulb, Battery)",
People’s Association,"PA HQ, 9 King George's Avenue","3-in-1 Bin (ICT, Bulb, Battery)",
Paya Lebar Kovan CC,207 Hougang Street 21,"3-in-1 Bin (ICT, Bulb, Battery)",
Pioneer Zone 9 RN,Blk 602 #01-175 Jurong West Street 65 Jurong West,"3-in-1 Bin (ICT, Bulb, Battery)",
Potong Pasir CC,6 Potong Pasir Ave 2,"3-in-1 Bin (ICT, Bulb, Battery)",
Queenstown CC,365 Commonwealth Ave,"3-in-1 Bin (ICT, Bulb, Battery)",
Serangoon CC,10 Serangoon North Avenue 2,"3-in-1 Bin (ICT, Bulb, Battery)",
Sheng Siong,"720 Clementi West St 2, #01-144 ","3-in-1 Bin (ICT, Bulb, Battery)",
Sheng Siong,"451 Bukit Batok West Avenue 6, #01-10  ","3-in-1 Bin (ICT, Bulb, Battery)",
Sheng Siong,"118 Aljunied Ave 2, #01-100  ","3-in-1 Bin (ICT, Bulb, Battery)",
Sheng Siong,"209 New Upper Changi Rd, #01-631  ","3-in-1 Bin (ICT, Bulb, Battery)",
Sheng Siong,"Ang Mo Kio Drive, #A1-12  ","3-in-1 Bin (ICT, Bulb, Battery)",
Sheng Siong,"602A Tampines Avenue 9, #01-01  ","3-in-1 Bin (ICT, Bulb, Battery)",
Sheng Siong,"105 Canberra St, East Brook @ Canberra, #02-05","3-in-1 Bin (ICT, Bulb, Battery)",
Sheng Siong,"Blk 4 Woodlands Street 12, #02-61  ",Battery and Bulb Bin,
Sheng Siong,"Blk 785E Woodlands Rise, #01-01  ",Battery and Bulb Bin,
Sheng Siong,"Blk 573 Woodlands Drive 16, #02-01  ",Battery and Bulb Bin,
Sheng Siong,"Blk 182 Woodlands St 13, #01-01  ",Battery and Bulb Bin,
Sheng Siong,"Blk 25 Ghim Moh Link, #01-11  ",Battery and Bulb Bin,
Sheng Siong,"Blk 122 Ang Mo Kio Ave 3, #01-1753  ",Battery and Bulb Bin,
Sheng Siong,"Blk 233 Ang Mo Kio Ave 3, #01-1168  ",Battery and Bulb Bin,
Sheng Siong,"Blk 352 Clementi Ave 2, #01-91  ",Battery and Bulb Bin,
Sheng Siong,"Blk 544 Jurong West St 42, #01-97  ",Battery and Bulb Bin,
Sheng Siong,"Blk 18 Teck Whye Lane, #01-95  ",Battery and Bulb Bin,
Sheng Siong,"Blk 154A Bukit Batok West Ave 8, #01-01  ",Battery and Bulb Bin,
Sheng Siong,"Blk 547 Segar Road, #01-06  ",Battery and Bulb Bin,
Sheng Siong,"Blk 446 Fajar Rd, #01-01  ",Battery and Bulb Bin,
Sheng Siong,"Blk 440 Bukit Batok West Ave 8, #01-10  ",Battery and Bulb Bin,
Sheng Siong,"Blk 292 Bukit Batok East Avenue 6, #01-02  ",Battery and Bulb Bin,
Sheng Siong,"Blk 202 Marsiling Drive, #01-138  ",Battery and Bulb Bin,
Sheng Siong,"No.1 Woodlands Roads, #01-07  ",Battery and Bulb Bin,
Sheng Siong,"200 Upp Thomson Rd, #B1-01  ",Battery and Bulb Bin,
Sheng Siong,"Blk 85 Dawson Road, #01-01  ",Battery and Bulb Bin,
Sheng Siong,"Blk 420A Clementi Ave 1, #01-01  ",Battery and Bulb Bin,
Sheng Siong,"7 Jurong West Ave 5, #01-01  ",Battery and Bulb Bin,
Sheng Siong,"200 Woodlands Industrial Park E7, #01-30  ",Battery and Bulb Bin,
Sheng Siong,"Blk 88 Tanglin Halt Road, #01-10  ",Battery and Bulb Bin,
Sheng Siong,"19 Serangoon North Ave 5, #01-01  ",Battery and Bulb Bin,
Sheng Siong,"3 Yuan Ching Rd, #01-01A/02  ",Battery and Bulb Bin,
Sheng Siong,"Blk 301 Woodlands St 31, #01-217  ",Battery and Bulb Bin,
Sheng Siong,"Blk 61 Teban Gardens Rd, #01-21  ",Battery and Bulb Bin,
Sheng Siong,"Blk 52 Chin Swee Rd, #01-25",Battery and Bulb Bin,
Singtel,"Comcentre, 31B Exeter Road","3-in-1 Bin (ICT, Bulb, Battery)",
StarHub,"68 Orchard Road, Plaza Singapura, #01-36 ","3-in-1 Bin (ICT, Bulb, Battery)",
StarHub,"4 Tampines Central 5, Tampines Central, #02-27","3-in-1 Bin (ICT, Bulb, Battery)",
Sunshine Place,475 Choa Chu Kang Avenue 3,"3-in-1 Bin (ICT, Bulb, Battery)",
Tampines Mall,4 Tampines Central 5,"3-in-1 Bin (ICT, Bulb, Battery)",
Tampines North CC,2 Tampines Street 41,"3-in-1 Bin (ICT, Bulb, Battery)",
Tampines Changkat CC,13 Tampines Street 11,"3-in-1 Bin (ICT, Bulb, Battery)",
Tanjong Pagar CC,101 Cantonment Rd,"3-in-1 Bin (ICT, Bulb, Battery)",
Teck Ghee CC,Ang Mo Kio Avenue 10,"3-in-1 Bin (ICT, Bulb, Battery)",
Telok Blangah CC,"450 Telok Blangah Street 31 ,Telok Blangah CC","3-in-1 Bin (ICT, Bulb, Battery)",
Toa Payoh Central CC,93 Toa Payoh Central,"3-in-1 Bin (ICT, Bulb, Battery)",
Toa Payoh South CC,1999 Lor 8 Toa Payoh,"3-in-1 Bin (ICT, Bulb, Battery)",
Toa Payoh East CC,160 Lor 6 Toa Payoh,"3-in-1 Bin (ICT, Bulb, Battery)",
Ulu Pandan CC,170 Ghim Moh Rd,"3-in-1 Bin (ICT, Bulb, Battery)",
West Coast CC,2 Clementi West Street 2,"3-in-1 Bin (ICT, Bulb, Battery)",
Whampoa CC,300 Whampoa Drive,"3-in-1 Bin (ICT, Bulb, Battery)",
Yio Chu Kang CC,50 Ang Mo Kio Street 61,"3-in-1 Bin (ICT, Bulb, Battery)",
Yuhua CC,90 Boon Lay Way,"3-in-1 Bin (ICT, Bulb, Battery)",
