Name,Location,Type of Bin Placed,Postal Code
Fairprice,"3155 Commonwealth Avenue West, The Clementi Mall, #B1-12  ",Battery and Bulb Bin,129588
Fairprice,"1 Maju Ave, Serangoon Garden Village, #B1-11  ",Battery and Bulb Bin,556679
Fairprice,"No. 1 Jln Anak Bukit, Bukit Timah Plaza, #B1-01 & #B2-01  ",Battery and Bulb Bin,588996
Fairprice,"301 Upper Thomson Rd, Thomson Plaza, #03-37/38",Battery and Bulb Bin,574408
Fairprice,"50 Jurong Gateway Rd, JEM, #B1-21/22 & #B3-01",Battery and Bulb Bin,608549
Gain City,"6 Raffles Boulevard, Marina Square, #03 - 223 / 232 ","3-in-1 Bin (ICT, Bulb, Battery)",039594
Gain City,8 Ang Mo Kio Industrial Park 2,"3-in-1 Bin (ICT, Bulb, Battery)",569500
Gain City,"71 Sungei Kadut Drive, Gain City Megastore @ Sungei Kadut ","3-in-1 Bin (ICT, Bulb, Battery)",729577
Gain City,"10 Tampines Central 1, Tampines 1, #B1-09","3-in-1 Bin (ICT, Bulb, Battery)",529536
German Centre,25 International Business Park,"3-in-1 Bin (ICT, Bulb, Battery)",609916
Giant,"21 Tampines North Drive 2, #03-01","3-in-1 Bin (ICT, Bulb, Battery)",528765
Harbourfront Centre,1 Maritime Square,"3-in-1 Bin (ICT, Bulb, Battery)",099253
Harbourfront Tower One,1 HarbourFront Place,"3-in-1 Bin (ICT, Bulb, Battery)",098633
Harvey Norman,"Bedok Point, 799 New Upper Changi Road, #B1-01/02, #B1-16 to 32, #B1-K1 to K14 ","3-in-1 Bin (ICT, Bulb, Battery)",467351
Harvey Norman,"Bukit Panjang Plaza, 1 Jelebu Road, #03-06/06A/06B/07A ","3-in-1 Bin (ICT, Bulb, Battery)",677743
Harvey Norman,"Djitsun Mall, 5 Ang Mo Kio Central 2 #02-01/02","3-in-1 Bin (ICT, Bulb, Battery)",569663
Harvey Norman,"Millenia Walk Flagship Store, 9 Raffles Boulevard, #01-59 to 63, #02-37 to 41, #03-02","3-in-1 Bin (ICT, Bulb, Battery)",039596
Harvey Norman,"Parkway Parade Superstore, 80 Marine Parade Road #01- 35/35A/36,#02-34/34A/35/36,","3-in-1 Bin (ICT, Bulb, Battery)",449269
Harvey Norman,"6 Temasek Boulevard, Suntec City Mall East Atrium, Tower 3/4, #01-634 to 640","3-in-1 Bin (ICT, Bulb, Battery)",038986
Harvey Norman,"930 Yishun Avenue 2, Northpoint City, Lv 1 Atrium","3-in-1 Bin (ICT, Bulb, Battery)",768019
Harvey Norman,"90 Hougang Avenue 10 #02-13 to 15, Hougang Mall","3-in-1 Bin (ICT, Bulb, Battery)",538766
Harvey Norman,"1 Jurong West Central 2, #03-34 to 39 Shopping Centre, Jurong Point","3-in-1 Bin (ICT, Bulb, Battery)",648886
Harvey Norman,"33 Sengkang West Avenue, #03-25/30, Seletar Mall","3-in-1 Bin (ICT, Bulb, Battery)",797653
Harvey Norman,"176 Orchard Road #03-06/07/07A/08 & #03-101, Centrepoint","3-in-1 Bin (ICT, Bulb, Battery)",238843
Harvey Norman,"750B Chai Chee Road #01-01/#02-02, ESR BizPark (Formerly Viva Business Park)","3-in-1 Bin (ICT, Bulb, Battery)",469000
Harvey Norman,"No 1 Bt. Batok Central Link #03-06 to 09, West Mall","3-in-1 Bin (ICT, Bulb, Battery)",658713
Harvey Norman,"3 Gateway Drive #B1-38/39, Westgate","3-in-1 Bin (ICT, Bulb, Battery)",608532
Heartbeat @ Bedok,11 Bedok North Street 1,"3-in-1 Bin (ICT, Bulb, Battery)",460136
Hewlett-Packard,"1 Depot close, HP Enterprise","3-in-1 Bin (ICT, Bulb, Battery)",109841
Hougang CC,35 Hougang Ave 3,"3-in-1 Bin (ICT, Bulb, Battery)",538840
IMM,2 Jurong East Street 21,"3-in-1 Bin (ICT, Bulb, Battery)",609601
ITE College Central,2 Ang Mo Kio Drive,"3-in-1 Bin (ICT, Bulb, Battery)",567720
JCube,2 Jurong East Central 1,"3-in-1 Bin (ICT, Bulb, Battery)",609731
Kebun Baru CC,Ang Mo Kio Avenue 4,"3-in-1 Bin (ICT, Bulb, Battery)",569897
Lenovo,"107 North Bridge Road, Funan Mall, #03-19/20","3-in-1 Bin (ICT, Bulb, Battery)",179105
Leng Kee CC,400 Lengkok Bahru,"3-in-1 Bin (ICT, Bulb, Battery)",159049
Lot One Shoppers' Mall,21 Choa Chu Kang Ave 4,"3-in-1 Bin (ICT, Bulb, Battery)",689812
Marina Bay Financial Centre Tower 3,12 Marina Blvd,"3-in-1 Bin (ICT, Bulb, Battery)",018982
Marina Bay Link Mall,8A Marina Boulevard,"3-in-1 Bin (ICT, Bulb, Battery)",018981
Marymount CC,191 Sin Ming Ave,"3-in-1 Bin (ICT, Bulb, Battery)",570409
Mega Discount Store,"101 Thomson Road, United Square, #B1-56D/E ","3-in-1 Bin (ICT, Bulb, Battery)",307591
Mega Discount Store,"5 Stadium Walk, Kallang Leisure Park, #01-46-50","3-in-1 Bin (ICT, Bulb, Battery)",397693
National University of Singapore (NUS),"27 Science Drive 1, Kent Ridge Campus, Outside LT27 & LT29 student space, Level 1 ","3-in-1 Bin (ICT, Bulb, Battery)",117541
National University of Singapore (NUS),"12 Kent Ridge Cres, Kent Ridge Campus, Central Library Forum space, Level 1 ","3-in-1 Bin (ICT, Bulb, Battery)",119275
National University of Singapore (NUS),"2 College Ave West, UTown - Stephen Riady Centre, Level 1 in front of WaaCow Restaurant","3-in-1 Bin (ICT, Bulb, Battery)",138607
One Raffles Quay,1 Raffles Quay,"3-in-1 Bin (ICT, Bulb, Battery)",048583
Our Tampines Hub,1 Tampines Walk,"3-in-1 Bin (ICT, Bulb, Battery)",528523
Pasir Panjang,"3 Harbour Drive, Pasir Panjang Terminal Building 3","3-in-1 Bin (ICT, Bulb, Battery)",117404
People’s Association,"30 Bukit Batok Street 31, Hong Kah North CC ","3-in-1 Bin (ICT, Bulb, Battery)",659440
